Hugo_Symbol	Entrez_Gene_Id	TCGA-43-7657	TCGA-58-8386	TCGA-22-5478	TCGA-22-5472	TCGA-43-5670	TCGA-60-2709	TCGA-22-5489	TCGA-77-8007	TCGA-22-5471	TCGA-22-4609	TCGA-22-5482	TCGA-56-8082	TCGA-22-5483	TCGA-56-8623	TCGA-33-4587	TCGA-56-7579	TCGA-43-3394	TCGA-34-8454	TCGA-77-7338	TCGA-43-6143	TCGA-43-6773	TCGA-51-4080	TCGA-34-7107	TCGA-39-5040	TCGA-43-6771	TCGA-92-7340	TCGA-77-7138	TCGA-77-7142	TCGA-56-7823	TCGA-22-5491	TCGA-22-5481	TCGA-90-7767	TCGA-77-8008	TCGA-56-7730	TCGA-33-6737	TCGA-56-7582	TCGA-56-7731	TCGA-77-7337	TCGA-43-7658	TCGA-56-8201	TCGA-85-7710	TCGA-56-7580	TCGA-43-6647	TCGA-90-6837	TCGA-56-8083	TCGA-51-4079	TCGA-56-7222	TCGA-22-4593	TCGA-51-4081	TCGA-56-8309
HIST3H2A	92815	62.12	130.6	33.06	35.5	73.03	60.39	92.05	66.65	54.33	15.56	55.49	30.34	14.45	100.83	131.51	59.55	87.03	71.5	23.08	48.87	72.52	115.97	45.21	74.58	8.92	27.44	40.64	35.76	59.13	20.86	37.05	48.18	51.71	49.56	72.01	21.94	27.44	35.0	76.17	28.86	90.77	59.55	40.07	22.92	29.91	82.29	4.7	37.32	43.63	77.25
LIN7B	64130	185.11	283.05	119.26	169.07	165.57	161.02	131.51	198.47	175.07	147.06	151.22	84.63	72.01	248.0	363.56	218.79	173.85	253.23	120.1	131.51	110.43	205.5	162.14	363.56	120.1	85.22	214.27	126.12	138.1	214.27	170.25	112.77	111.21	180.02	197.09	111.21	93.35	114.36	231.32	181.28	185.11	119.26	102.97	123.5	264.03	194.36	166.73	105.15	185.11	356.05
LXN	56925	909.17	819.3	412.0	743.43	1340.84	607.87	1709.26	1709.26	603.67	555.41	693.58	616.37	518.15	813.63	753.83	769.69	642.59	624.99	854.13	802.41	1037.29	532.74	1088.92	842.36	507.46	769.69	514.56	974.5	1340.84	679.29	444.72	928.3	1233.75	718.08	1051.79	2367.9	389.72	836.53	669.92	460.44	813.63	2400.97	543.96	2193.99	540.19	521.76	253.23	764.36	518.15	878.17
CNKSR2	22866	41.81	18.29	40.93	67.12	54.72	29.27	20.26	23.76	28.04	39.22	46.5	42.41	37.85	51.35	24.81	53.95	35.0	54.72	53.95	19.25	34.51	51.71	12.64	25.35	43.32	64.34	43.63	77.25	40.93	33.3	33.3	58.71	29.27	32.59	44.89	55.49	24.11	56.28	39.79	38.4	34.51	70.01	57.49	57.89	67.12	34.51	22.1	31.9	28.24	49.91
SCML1	6322	133.36	214.27	108.14	109.66	190.34	211.31	96.01	208.38	120.1	239.52	124.37	249.73	103.69	214.27	162.14	195.72	127.89	127.0	119.26	124.37	180.02	115.16	105.89	334.46	199.85	208.38	195.72	202.66	214.27	132.44	114.36	176.29	195.72	105.89	111.21	228.13	130.6	165.57	159.9	202.66	251.48	209.84	120.1	109.66	155.5	162.14	277.2	86.43	164.42	155.5
AC024592.12	0	25.91	32.13	17.38	13.72	21.01	28.86	23.59	34.02	36.01	22.75	10.39	3.41	33.3	16.15	87.03	23.76	47.17	21.78	30.78	30.56	37.59	26.28	26.1	53.95	9.63	13.42	20.26	31.45	19.11	31.67	33.06	24.11	18.43	28.04	46.84	15.11	33.54	28.65	24.99	24.63	37.32	20.56	32.13	28.86	11.3	18.84	33.78	23.93	29.7	20.26
GSDMD	79792	1733.13	2835.7	1508.65	1936.53	1819.35	2502.97	2090.03	2434.5	1757.34	1844.76	1950.0	2047.0	2104.58	2417.67	3039.3	2004.85	1519.15	2664.15	1508.65	2209.26	2434.5	2627.46	2075.59	2645.74	1977.24	1437.15	1950.0	1388.16	2591.27	2664.15	1950.0	1745.2	2935.74	1674.06	2573.36	1674.06	1936.53	1457.23	2591.27	1950.0	2720.15	1950.0	2018.8	2004.85	2417.67	2209.26	1417.35	1733.13	2739.08	2835.7
AKR1C1	1645	1088.92	947.83	684.02	860.08	1096.5	2090.03	1369.04	1151.06	1119.56	703.28	575.03	1340.84	656.11	934.76	1268.46	1183.45	2004.85	947.83	698.41	1151.06	1135.2	1015.93	429.54	1096.5	473.41	547.75	1096.5	1407.55	796.86	647.07	884.29	796.86	612.11	1286.18	1015.93	921.88	1551.09	921.88	1397.83	1008.9	511.0	660.68	1051.79	743.43	961.07	1242.34	486.75	417.77	981.29	1733.13
C3orf62	375341	122.64	181.28	181.28	150.17	183.82	117.6	106.63	150.17	100.83	112.77	114.36	132.44	136.19	242.88	106.63	180.02	170.25	140.04	113.56	164.42	136.19	127.89	96.01	182.55	87.03	145.02	165.57	156.59	145.02	101.54	167.9	187.71	156.59	156.59	92.7	217.27	137.14	135.24	161.02	229.72	194.36	183.82	120.94	84.63	130.6	166.73	198.47	74.58	190.34	135.24
CRISPLD2	83716	848.22	536.45	620.67	1216.75	1832.01	2287.2	693.58	836.53	312.0	1674.06	1417.35	5479.15	1909.85	420.68	242.88	356.05	307.69	884.29	511.0	2417.67	4210.15	1225.22	3081.75	1359.57	4937.99	896.64	620.67	1286.18	417.77	733.19	599.49	1286.18	3060.45	647.07	1268.46	728.11	3491.39	921.88	307.69	1051.79	277.2	579.04	2956.17	1233.75	1769.57	1781.89	511.0	2255.7	2193.99	457.25
